trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,2,-21.457768545926132,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",25,0,-25.35190012307071,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",25,3,17.77377899299891,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",35,0,24.098233933082902,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",25,0,-4.77217576253243,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",30,16,-17.953777542197123,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",25,5,35.393092859067615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,2,26.093507839264454,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",20,8,8.277532948799887,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",25,14,-11.06899811788922,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",20,14,-8.05069758447129,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",25,0,-18.222400174577352,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,14,10.688062482215138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,17,2.9102881396546882,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",35,22,21.851785576862966,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,0,-31.15715882177384,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",20,4,-7.721422815250082,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",25,14,-39.976731077363,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",30,11,20.658061431522746,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,8,7.447193159025113,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",25,18,-28.709322173447532,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,9,13.8108769982443,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",25,11,-16.035482737398457,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",20,8,17.38215138264031,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623946}",30,17,28.572759027236867,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",20,12,-0.3139158025672326,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748933}",20,3,2.1370465299091426,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",30,16,8.209332326260256,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",20,9,9.992024579114842,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",25,16,18.191945965883153,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",30,12,-12.622491470763318,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",25,7,-51.06464005873602,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",30,7,17.80197608999619,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,3,13.955605996731279,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",30,23,-0.7361352744986933,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",20,0,15.695549539977039,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",25,4,16.540522330005246,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",30,16,-19.911700282763825,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",20,15,9.782399112466425,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",20,0,8.5620004062996,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.17398982847626404}",20,7,19.26849127161811,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",25,17,7.993817335777976,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",20,16,5.044107788719159,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",20,8,25.824145621497426,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,13,12.484588483783746,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",25,8,28.100904371391902,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",25,11,22.260548751424796,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",25,14,19.936402851046413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",20,10,18.94918950049404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",35,17,22.135242660907615,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",20,10,16.682731970577535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",25,17,-24.80062314599452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384462}",20,5,-21.316185687646872,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.15267973227590617}",20,11,17.287174069162383,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",20,6,28.232090593533385,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",30,19,-20.386365666572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",30,16,16.347623623607788,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",25,7,4.789614114505958,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",20,16,8.725828536171157,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",25,10,18.344570084948113,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",20,9,10.087359945263069,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",20,12,13.470847191101697,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.139475568775225}",25,9,17.215060255364083,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747275}",30,10,30.75487634256887,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.136700004956598}",25,16,-3.2342646973178777,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703204}",20,13,11.595495229485994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13397967485796172}",35,22,6.856704171877414,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.1326398781093821}",25,20,7.8608888319960615,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13131347932828827}",30,13,-35.10282069095515,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
203,False,"{'a': 0.5, 'e': 0.1300003445350054}",35,24,-18.026356227089472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.5, 'e': 0.12870034108965533}",25,12,17.34963048995802,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
